,Action.L,Action.R,Action.U,Action.D,Action.W,Action.C
"[[ 0.  0. 13.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  6.  3.]
 [ 0.  0. 12.  4.  1.]]",0.0,101.76686182087774,-0.6,25.251885720221875,0.0,0.0
"[[ 0.  3. 13.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4. 15.  4.  4.]]",104.9919889166846,349.8317608465234,139.38848032202446,118.85492726558834,37.69712508282736,81.48464635207785
"[[ 0.  0. 13.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  1.  3.]
 [ 0.  0.  1.  4.  6.]
 [ 0.  0. 15.  4.  4.]]",-28.25121,256.74811571982366,-50.19,0.0,0.0,-29.19
"[[ 0.  0. 13.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  1.  3.]
 [ 0.  0. 12.  4.  6.]]",0.0,185.43891479643133,0.0,48.63492324862791,0.0,0.0
"[[ 0.  3. 13.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4. 15.  4.  4.]]",24.940817560812384,118.92573709543018,208.0812143189076,-30.0,-63.447147,11.838165311551286
"[[ 0.  3.  3.  3. 13.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4.  4.  4.  4.]
 [11.  4.  4.  4.  4.]]",-37.4232690684409,162.77495453905672,-6.227595311353104,11.68418226572281,94.1628947854278,-30.0
"[[ 3.  3. 13.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  1.  3.  3.  3.]
 [ 1.  4.  6.  1.  1.]
 [ 4.  4. 15.  4.  4.]]",188.741496220032,292.6491168263553,80.21258753850017,375.26792287219865,150.70543856125198,207.82844787899728
"[[ 3.  3. 13.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  1.  3.  3.  3.]
 [ 1.  4. 17.  1.  1.]]",0.0,313.3101620736502,0.2487899999999999,57.16691332680245,-24.282679083642524,0.0
"[[10.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4.  4.  4. 15.]]",-30.0,143.72524347316386,8.69697156360465,-20.287586410154265,-51.0,238.6397988118968
"[[13.  3.  3.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  1.  3.  3.  3.]
 [ 1.  4.  6.  1.  1.]
 [ 4.  4.  4.  4. 15.]]",-18.63350044219229,33.187576610296965,-65.69999999999999,63.92880413496175,-84.60528311745468,316.10180326203863
